Pos: ?{E6POS: X 162.0071, Y -281.7951, Z 129.0616, A -99.10789, B 19.48854, C -92.23381, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 998
Pos: ?{E6POS: X 162.0064, Y -281.7947, Z 129.0619, A -99.10802, B 19.48854, C -92.23386, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 1980
Pos: ?{E6POS: X 162.0067, Y -281.7948, Z 129.0621, A -99.10796, B 19.48850, C -92.23383, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 2966
Pos: ?{E6POS: X 162.0072, Y -281.7944, Z 129.0622, A -99.10779, B 19.48842, C -92.23375, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 3958
Pos: ?{E6POS: X 162.0067, Y -281.7945, Z 129.0619, A -99.10790, B 19.48856, C -92.23383, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 4964
Pos: ?{E6POS: X 162.0072, Y -281.7942, Z 129.0619, A -99.10780, B 19.48856, C -92.23383, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 5971
Pos: ?{E6POS: X 160.5894, Y -277.1743, Z 123.9465, A -99.27026, B 20.39652, C -92.71014, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 6972
Pos: ?{E6POS: X 172.6449, Y -316.4573, Z 174.3383, A -98.08788, B 11.95737, C -88.47946, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 7971
Pos: ?{E6POS: X 192.5763, Y -381.4043, Z 358.5676, A -98.30441, B -13.95247, C -76.40281, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 8970
Pos: ?{E6POS: X 183.8048, Y -352.8221, Z 556.5533, A -105.5911, B -39.59524, C -60.70791, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 9974
Pos: ?{E6POS: X 148.8020, Y -238.7648, Z 712.5070, A -130.3849, B -60.44606, C -29.19867, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 10966
Pos: ?{E6POS: X 95.72910, Y -65.82575, Z 792.7712, A 172.9515, B -62.90442, C 33.76389, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 11969
Pos: ?{E6POS: X 60.11657, Y 50.21834, Z 794.4124, A 150.0762, B -52.45242, C 60.58397, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 12968
Pos: ?{E6POS: X 51.04103, Y 79.79115, Z 788.8168, A 146.4276, B -49.04592, C 65.29244, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 13969
Pos: ?{E6POS: X 51.04027, Y 79.79365, Z 788.8162, A 146.4273, B -49.04562, C 65.29282, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 14960
Pos: ?{E6POS: X 51.04027, Y 79.79365, Z 788.8162, A 146.4273, B -49.04562, C 65.29282, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 15963
Pos: ?{E6POS: X 39.34321, Y 117.9087, Z 838.8847, A 140.9907, B -41.85633, C 72.90103, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 16962
Pos: ?{E6POS: X -8.918164, Y 275.1693, Z 946.3204, A 132.9308, B -17.67159, C 88.70183, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 17953
Pos: ?{E6POS: X -66.53214, Y 462.9056, Z 964.8679, A 131.8564, B 7.554308, C 100.5515, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 18940
Pos: ?{E6POS: X -119.6519, Y 635.9974, Z 890.6025, A 136.4966, B 32.22580, C 113.8234, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 19930
Pos: ?{E6POS: X -127.5667, Y 661.7880, Z 869.1419, A 138.1530, B 36.38467, C 116.7599, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 20948
Pos: ?{E6POS: X -127.5667, Y 661.7880, Z 869.1419, A 138.1530, B 36.38467, C 116.7599, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 21938
Pos: ?{E6POS: X -115.2052, Y 621.5076, Z 926.2067, A 136.4861, B 32.19617, C 113.8036, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 22937
Pos: ?{E6POS: X -73.31198, Y 484.9979, Z 1065.567, A 133.3369, B 20.09723, C 106.7044, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 23950
Pos: ?{E6POS: X -22.30104, Y 318.7777, Z 1168.215, A 131.8596, B 7.607275, C 100.5762, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 24944
Pos: ?{E6POS: X 33.27357, Y 137.6868, Z 1225.638, A 131.7158, B -4.715309, C 94.91512, S 3, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 25943
Pos: ?{E6POS: X 91.48301, Y -51.98981, Z 1237.013, A 132.8353, B -17.03965, C 89.02221, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 26936
Pos: ?{E6POS: X 149.2917, Y -240.3604, Z 1200.908, A 135.5226, B -29.26629, C 82.23296, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 27955
Pos: ?{E6POS: X 203.3410, Y -416.4814, Z 1118.277, A 140.5725, B -41.14814, C 73.53216, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 28952
