Pos: ?{E6POS: X 444.0670, Y 347.6172, Z 864.0417, A 60.68909, B 31.73736, C 99.23269, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 28953
Pos: ?{E6POS: X 444.0670, Y 347.6172, Z 753.5947, A 60.68909, B 31.73736, C 99.23269, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 29947
Pos: ?{E6POS: X 444.0669, Y 347.6172, Z 643.5895, A 60.68909, B 31.73736, C 99.23269, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 30941
Pos: ?{E6POS: X 444.0669, Y 347.6171, Z 534.4679, A 60.68910, B 31.73736, C 99.23269, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 31930
Pos: ?{E6POS: X 444.0669, Y 347.6171, Z 424.9047, A 60.68910, B 31.73736, C 99.23270, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 32924
Pos: ?{E6POS: X 444.0668, Y 347.6170, Z 321.1789, A 60.68911, B 31.73736, C 99.23270, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 33924
Pos: ?{E6POS: X 444.0675, Y 323.7989, Z 288.9554, A 60.69057, B 31.73297, C 99.23549, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 34922
Pos: ?{E6POS: X 444.0683, Y 157.2589, Z 288.9555, A 60.69054, B 31.73303, C 99.23544, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 35921
Pos: ?{E6POS: X 444.0678, Y 6.474313, Z 288.9556, A 60.69062, B 31.73300, C 99.23557, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 36913
Pos: ?{E6POS: X 444.0665, Y -51.19943, Z 288.9555, A 60.69587, B 31.71789, C 99.24555, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 37911
Pos: ?{E6POS: X 444.0665, Y -51.45924, Z 288.9555, A 60.69587, B 31.71789, C 99.24555, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 38906
Pos: ?{E6POS: X 444.0665, Y -145.6284, Z 288.9555, A 60.69587, B 31.71789, C 99.24555, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 39908
Pos: ?{E6POS: X 366.6382, Y -145.6284, Z 288.9555, A 60.69587, B 31.71789, C 99.24555, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 40895
Pos: ?{E6POS: X 451.4942, Y -145.6326, Z 288.9547, A 60.69505, B 31.71785, C 99.24417, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 41885
Pos: ?{E6POS: X 644.7459, Y -145.6314, Z 288.9562, A 60.69513, B 31.71771, C 99.24421, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 42875
Pos: ?{E6POS: X 650.4747, Y -145.6312, Z 288.9565, A 60.63024, B 31.71768, C 99.24422, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 43868
